timestamp,open,high,low,close,volume
2024-01-05,105.07,105.52,95.33,100.02,692747.92185351
2024-01-06,100.06,100.36,91.73,93.78,377230.2669219
2024-01-07,93.83,96.77,87.92,89.5,494016.47885928
2024-01-08,89.51,99.9,83.94,97.94,848352.04605275
2024-01-09,97.93,104.0,92.22,99.55,823654.10889931
2024-01-10,99.39,105.62,92.19,102.04,776679.92299839
2024-01-11,102.02,107.26,97.6,99.88,736102.88028626
2024-01-12,99.93,100.6,86.88,92.01,987835.16152067
2024-01-13,92.12,97.43,89.53,95.87,512141.21880981
2024-01-14,95.84,103.13,93.71,93.86,721826.68710665
2024-01-15,93.78,96.87,92.95,94.34,463659.7207302
2024-01-16,94.49,98.7,94.09,97.57,324437.67512322
2024-01-17,97.69,102.77,96.99,102.12,912849.33463705
2024-01-18,102.1,103.39,91.38,94.3,681056.11516269
2024-01-19,94.31,95.6,87.0,93.6,874112.73147312
2024-01-20,93.6,94.15,89.5,92.63,300383.80928251
2024-01-21,92.72,93.85,90.7,90.96,242968.13292933
2024-01-22,90.95,91.83,82.0,83.75,635093.0627651
2024-01-23,83.7,85.92,78.96,84.28,650277.15224284
2024-01-24,84.28,89.36,83.32,88.74,546797.88921409
2024-01-25,88.73,89.54,85.05,86.85,589119.85174955
2024-01-26,86.82,93.69,86.02,92.21,647620.0453942
2024-01-27,92.24,94.82,90.64,94.23,402137.1092538
2024-01-28,94.24,99.42,93.45,95.96,718638.97063206
2024-01-29,95.99,102.0,95.06,101.66,882184.140681
2024-01-30,101.73,106.47,100.96,101.4,1082812.79887677
2024-01-31,101.38,102.8,95.01,96.85,1305214.90086393
2024-02-01,96.83,98.0,92.95,97.8,768716.51754562
2024-02-02,97.85,102.46,97.39,100.47,901424.85635437
2024-02-03,100.57,101.16,96.69,97.87,403972.99459367
2024-02-04,97.87,98.58,95.1,95.39,335818.04000968
2024-02-05,95.39,98.55,94.18,95.52,502734.12730839
2024-02-06,95.51,97.86,93.17,96.83,572573.74533152
2024-02-07,96.83,101.46,94.6,101.1,488286.23487708
