timestamp,open,high,low,close,volume
2023-12-01,69.46,72.2,69.2,71.62,15262.00997401
2023-12-02,71.61,72.76,71.28,72.22,17432.84055787
2023-12-03,72.23,72.78,71.38,72.3,15995.2047142
2023-12-04,72.33,75.19,71.99,72.87,67761.99737951
2023-12-05,72.88,74.39,71.21,74.31,36743.6039744
2023-12-06,74.34,74.85,72.16,72.44,25488.94231387
2023-12-07,72.42,74.56,71.91,74.06,26367.66955648
2023-12-08,74.07,78.8,73.4,78.55,63155.15952035
2023-12-09,78.55,79.56,75.72,76.36,30718.88605199
2023-12-10,76.35,78.96,76.35,77.18,21538.67893061
2023-12-11,77.19,77.5,70.48,72.71,50375.63194966
2023-12-12,72.6,73.63,71.0,72.35,18719.24947206
2023-12-13,72.41,74.04,70.21,73.13,36502.57606478
2023-12-14,73.15,74.0,71.37,72.98,21246.5279099
2023-12-15,72.91,72.91,70.65,70.94,26049.4268807
2023-12-16,70.94,72.51,70.55,72.14,12295.40841937
2023-12-17,72.16,73.53,70.79,71.15,35073.6173005
2023-12-18,71.14,71.49,68.01,70.84,30795.88772022
2023-12-19,70.85,71.6,69.72,70.66,14609.48538494
2023-12-20,70.69,71.84,69.37,69.76,124626.76691412
2023-12-21,69.76,71.08,68.94,70.92,117184.39811013
2023-12-22,70.93,73.82,70.39,73.69,65178.93868928
2023-12-23,73.65,74.09,71.32,72.52,30177.31905016
2023-12-24,72.51,72.98,70.11,71.12,29907.70085951
2023-12-25,71.18,72.71,70.59,72.24,22151.85072934
2023-12-26,72.24,74.39,71.11,73.25,45169.46866106
2023-12-27,73.24,77.3,72.11,75.99,84206.36837357
2023-12-28,76.0,77.6,74.59,76.63,52179.72195477
2023-12-29,76.63,77.8,72.84,73.28,48488.88830772
2023-12-30,73.27,74.0,72.38,73.29,41859.84179075
2023-12-31,73.28,74.16,71.38,72.84,34325.36224078
2024-01-01,72.8,74.77,72.06,74.73,30175.86853593
2024-01-02,74.74,75.88,72.56,72.98,40878.02780223
2024-01-03,73.0,73.65,58.61,65.29,62626.10937228
2024-01-04,65.29,67.16,64.59,66.49,29785.4414297
2024-01-05,66.49,66.79,63.66,66.04,27799.99458564
2024-01-06,66.03,66.13,63.33,65.67,25478.10291106
2024-01-07,65.68,66.35,63.75,64.28,34008.10661684
2024-01-08,64.28,68.39,61.12,67.75,52683.50136295
2024-01-09,67.76,67.86,64.3,67.0,39719.07711079
2024-01-10,67.02,71.18,65.02,70.06,43098.70402117
2024-01-11,70.09,74.58,69.54,71.92,67326.85498088
2024-01-12,71.91,77.09,70.46,72.89,74313.18669415
2024-01-13,72.95,73.52,71.02,71.99,20610.94244601
2024-01-14,72.0,72.27,69.5,69.71,22818.32963917
2024-01-15,69.78,71.56,68.8,69.11,17395.80468336
2024-01-16,69.19,70.51,68.4,69.42,20837.8072388
2024-01-17,69.43,69.9,68.37,69.42,34494.5294305
2024-01-18,69.42,70.26,66.2,68.02,40339.1576094
2024-01-19,68.01,71.49,66.95,71.2,28607.68883578
2024-01-20,71.21,72.73,70.58,71.3,16636.1628652
2024-01-21,71.32,72.23,70.47,71.67,16274.71699997
2024-01-22,71.68,72.58,66.66,67.31,43792.05634568
2024-01-23,67.29,68.35,63.17,65.45,42998.1180433
2024-01-24,65.37,66.3,64.87,66.07,34338.64765117
2024-01-25,66.07,66.1,64.57,65.49,29415.48779438
2024-01-26,65.48,67.53,65.2,67.02,24464.64678859
2024-01-27,67.04,68.33,66.38,68.08,16408.08862942
2024-01-28,68.08,68.49,67.37,68.36,21680.53462881
2024-01-29,68.35,68.76,66.87,68.46,38658.80251207
2024-01-30,68.4,68.68,67.23,67.51,23332.62136912
2024-01-31,67.51,70.0,66.17,66.72,39642.21717447
2024-02-01,66.72,68.08,65.72,67.5,22861.5288933
2024-02-02,67.52,68.37,67.35,68.04,14521.34186868
2024-02-03,68.03,69.15,67.89,68.82,8955.85279253
